Hacked target, DeFi Exploit Name,Description, Amount of loss, Attack method, Time, Source,,,,,,
Yearn Finance,Yearn,"A bug in a token issued by decentralized finance (DeFi) protocol Yearn Finance was impacted in an exploit this morning, security firm PeckShield tweeted, leading to millions of dollars in losses. 11 million and occurred on Aave version 1, the data suggested. These were spread over U.S. dollar-pegged stablecoins dai (DAI), tether (USDT), USD coin (USDC), Binance USD (BUSD) and tru USD (TUSD).","11,000,000",Contract Vulnerability,"April 13, 2023",https://au.news.yahoo.com/defi-protocol-yearn-finance-impacted-065055668.html,,,,,,
Tinyman,Tinyman,"Decentralized trading protocol Tinyman, built on Algorand, was the victim of a smart contract exploit. The protocol is estimated to have lost $3 million after all was said and done.","3,000,000",Contract Vulnerability,"January 1, 2022",https://beincrypto.com/algorand-based-tinyman-amm-exploited-for-3-million/,,,,,,
Saddle Finance,Saddle Finance,"DeFi protocol Saddle Finance was launched on Jan. 20, with the aim of alleviating the problematic spread between stablecoins and wrapped or tokenized crypto assets. Within a few hours of going live, however, whales had taken advantage of the new protocol by arbitraging for huge profits.","275,000",Rug Pull,"January 19, 2021",https://beincrypto.com/arbitraging-defi-whales-exploit-saddle-finance-launch-day/,,,,,,
SafeDollar,SafeDollar,"According to the contract address on the Polygon Scan dashboard, $248,000 in USDC and Tether was withdrawn from the protocol on June 28.","248,000",Contract Vulnerability,"June 28, 2021",https://beincrypto.com/defi-exploit-streak-hits-polygon-safedollar-crashes-zero/,,,,,,
Iron Finance,Iron Finance,"Iron Finance is a partially collateralized stablecoin platform based on the Binance Smart Chain (BSC).It reported that on March 16, two Iron Finance vFarm pools were  subject to an incident . This ordeal resulted in the loss of user deposits.","170,000",Misconfiguration,"March 16, 2021",https://beincrypto.com/iron-finance-defi-exploit-explained-post-mortem/,,,,,,
THORChain,THORChain, THORChain has suffered another unfortunate exploit   the second this month.,"4,900,000",flash loan,"July 15, 2021",https://beincrypto.com/thorchain-exploited-5-million-defi-hack/,,,,,,
Visor Finance,Visor Finance,"The Visor team revealed that a malicious smart contract drained the protocol’s staking contract of 8,812,958 VISR tokens. At the time of the exploit, this was valued at around $8.1 million. ","8,100,000", malicious smart contract ,"December 22, 2021",https://beincrypto.com/visor-finance-hacked-for-8m-in-latest-defi-exploit/,,,,,,
Fulcrum,Fulcrum,"when Fulcrum team released their own Flash Loans feature on the Ethereum Mainnet, and we happened to find a very critical vulnerability in it. We discovered that $2.5M of user funds from 3 pools could be stolen within a single transaction.","2,500,000",Contract Vulnerability,"January 11, 2020",https://blog.1inch.io/yes-we-hacked-bzx-fulcrum-but-one-month-ago/,,,,,,
BT Finance,BT Finance,"In this exploit, the exploiter(s) made a total profit of 31.87renBTC and 211 ETH, and used REN and Tornado.Cash to transfer assets anonymously.","1,500,000",Contract Vulnerability,"February 12, 2021",https://btfinance.medium.com/bt-finance-exploit-analysis-report-a0843cb03b28,,,,,,
bEarn Fi,bEarn Fi,"bEarn Fi, a cross-chain auto yield farming protocol, was exploited earlier Sunday, resulting in a loss of almost $11 million, according to China-based blockchain analysis firm PeckShield.","11,000,000",Contract Vulnerability,"May 16, 2021",https://ca.movies.yahoo.com/bearn-fi-loses-11m-latest-152801049.html,,,,,,
Meter,Meter," With teams now using independently modified forks of ChainBridge without auditing their changes, it was only a matter of time before costly mistakes were made. In the case of Meter, their modifications to the ChainBridge code introduced a bug in the automatic wrap and unwrap of native tokens like BNB and ETH, which created an opening for a hacker to exploit.   ChainSafe","4,300,000",Contract Vulnerability,"February 6, 2022",https://coincodecap.com/meter-io-hacked-around-4-3m-lost,,,,,,
Starstream Finance,Starstream Finance, Starstream Finance had their treasury drained in an exploit and has advised anyone holding funds in AgoraDefi to withdraw them. The Team has announced this incident on their official Discord.   CoinCodeCap,"4,000,000",external call,"April 7, 2022",https://coincodecap.com/starstream-finance-hacked-around-4m-stolen,,,,,,
Zabu Finance,Zabu Finance,"Avalanche-Based Zabu Finance Sees $3.2M Hack.The attacker used Zabu’s  Transfer Tax  mechanism to mint tokens, sending their value to zero.","3,200,000",Contract Vulnerability,"September 12, 2021",https://coindesk.com/tech/2021/09/13/avalanche-based-zabu-finance-exploited-in-32m-hack/,,,,,,
AutoShark Finance,AutoShark Finance," Flash loan attacks on the Binance Smart Chain (BSC) are becoming an everyday affair now. DeFi protocols are becoming much more vulnerable to attackers exploiting the (BSC) platform. In a third flash-loan-attack incident within a week’s time, AutoShark Finance has been the latest victim.","822,000",flash loan,"May 24, 2021",https://coingape.com/autoshark-finance-is-the-latest-victim-to-the-third-flash-loan-attack-on-binance-smart-chain-in-a-week/,,,,,,
Warp Finance,Warp Finance,Decentralized finance (DeFi) lending protocol Warp Finance has experienced a flash loan attack that resulted in a loss of $7.7 million worth of stablecoins.,"7,700,000",flash loan,"December 18, 2020",https://coingeek.com/defi-platform-warp-finance-losses-8-million/,,,,,,
Uranium Finance,Uranium Finance,"Uranium Finance, an automated market maker platform on the Binance Smart Chain, has reported a security incident that resulted in a loss of about $50 million.","50,000,000",Contract Vulnerability,"April 28, 2021",https://cointelegraph.com/news/50m-reportedly-stolen-from-bsc-based-uranium-finance,,,,,,
LaunchZone,LaunchZone,"BNB Chain-based DeFi protocol LaunchZone claims an exploit led to $700,000 of funds being drained from its liquidity pool, with its native token plunging in value. ","700,000",-,"February 27, 2023",https://cointelegraph.com/news/700-000-drained-from-bnb-chain-based-defi-protocol-launchzone,,,,,,
Alchemix,Alchemix,"This morning, Alchemix announced that the contracts for one of their synthetic assets, alETH, had experienced an  incident. for a short window of time users were able to withdraw their ETH collateral with their alETH loans still outstanding   a rugpull by the community to the tune of $6.5 million",n/a,deployment issue,"June 16, 2021",https://cointelegraph.com/news/alchemix-patches-reverse-rug-exploit-address-6-5-million-shortfall,,,,,,
Allbridge,AllBridge,"Allbridge has yet to publicly disclose how much was stolen, but blockchain security firm CertiK said the sum is close to $550,000, while PeckSheild said the exploit netted $282,889 in BUSD and $290,868 worth of Tether, totaling roughly $573,000.   Cointelegraph","573,000",price manipulation,"April 1, 2023",https://cointelegraph.com/news/allbridge-exploiter-returns-most-of-the-573k-stolen-in-attack,,,,,,
Alpha Finance Lab + Cream Finance,Alpha Finance Lab + Cream Finance,"In one of the largest exploits of the DeFi era, this morning an attacker successfully drained over $37 million from Alpha Homora by leveraging Cream’s Iron Bank protocol-to-protocol lending platform.","37,000,000",price manipulation,"February 13, 2021",https://cointelegraph.com/news/alpha-homora-loses-37-million-following-iron-bank-exploit,,,,,,
Lympo,Lympo,Sports nonfungible token (NFT) minting platform and Animoca Brands subsidiary Lympo suffered a hot wallet security breach and lost 165.2 million LMT tokens worth $18.7 million at the time of the hack.,"18,700,000",Private Key Leakage,"January 10, 2022",https://cointelegraph.com/news/animoca-brands-lympo-nft-platform-hacked-for-18-7-million,,,,,,
Nereus Finance ,Nereus Finance,"Avalanche-based lending protocol Nereus Finance has been the victim of a crafty hack that saw a user net $371,000 worth of USD Coin using a smart contract exploit.Blockchain cybersecurity firm CertiK was one of the first to detect the exploit on Tuesday, indicating that the attack impacted liquidity pools on Nereus relating to decentralized exchange (DEX) Trader Joe and automated market maker Curve Finance.   CoinTelegraph","371,000",flash loan,"September 6, 2022",https://cointelegraph.com/news/avalanche-flash-loan-exploit-sees-371k-in-usdc-stolen,,,,,,
Beanstalk Farms,Beanstalk Farms,Credit-based stablecoin protocol Beanstalk Farms lost all of its $182 million collateral from a security breach caused by two sinister governance proposals and a flash loan attack.,"182,000,000",Flash Loan,"April 18, 2022",https://cointelegraph.com/news/beanstalk-farms-loses-182m-in-defi-governance-exploit,,,,,,
BNB Chain,BNB Chain Bridge,"BNB Chain, the blockchain of crypto exchange Binance, was paused on Oct. 6 due to an exploit on its cross-chain bridge, with attackers making off with an estimated $100 million worth of cryptocurrency. ","100,000,000",Contract Vulnerability,"October 6, 2022",https://cointelegraph.com/news/bnb-chain-confirms-bsc-halt-due-to-potential-exploit,,,,,,
Bondly Finance,Bondly Finance," Decentralized e-commerce platform Bondly Finance is the latest decentralized finance (DeFi) platform to suffer an alleged exploit. The developer team advised the DeFi community to stop trading Bondly, the platform’s native token, following a suspected exploit on Thursday.",n/a,Rug Pull,"July 15, 2021",https://cointelegraph.com/news/bondly-finance-urges-users-to-stop-trading-following-alleged-exploit,,,,,,
BonqDAO,BonqDAO,"An oracle hack allowed the exploiter to manipulate the price of the AllianceBlock token, leading to an estimated $120 million loss, according to Peckshield.","120,000,000",Oracle Manipulation,"January 12, 2023",https://cointelegraph.com/news/bonqdao-protocol-suffers-120m-loss-after-oracle-hack,,,,,,
Horizon Bridge,Horizon Bridge,The Horizon Bridge to the Harmony layer-1 blockchain has been exploited for $100 million in altcoins which are being swapped for Ether (ETH). The hack may vindicate previously raised community concerns about the robustness of the two of four multisig that reportedly secures the bridge.   Cointelegraph,"100,000,000",Private Key Leakage,"June 24, 2022",https://cointelegraph.com/news/breaking-harmony-one-s-horizon-bridge-hacked-for-100m,,,,,,
CoW Swap,Cow Swap,"Security firm PeckShield reported that the hacker successfully drained roughly 551 BNB off CoW Swap into Tornado Cash, which was worth around $181,600 at the time of writing.","181,000",Contract Authorization ,"February 7, 2023",https://cointelegraph.com/news/cow-swap-hacker-milks-over-550-bnb-using-solver-exploit,,,,,,
Cream Finance,Cream Finance,"An unknown hacker has managed to gain $18.8 million in the latest flash loan exploit of the Cream Finance protocol through a reentrancy bug introduced by the Amp (AMP) token, according to an investigation by blockchain security firm Peckshield.","18,800,000",re-entrancy incidents,"August 30, 2021",https://cointelegraph.com/news/cream-finance-defi-platform-loses-19m-in-a-flash-loan-hack,,,,,,
Dao Maker,Dao Maker,"According to a report from DAO Maker CEO Christoph Zaknun, hackers were able to remove roughly $7 million in USD Coin (USDC) from 5,251 user accounts.Despite the name, DAO Maker has no apparent connection to MakerDAO, the decentralized finance, or DeFi, protocol behind the stablecoin Dai (DAI).","7,000,000",Contract Vulnerability,"August 12, 2021",https://cointelegraph.com/news/dao-maker-crowdfunding-platform-loses-7m-in-latest-defi-exploit,,,,,,
Audius,Audius,"Proposals in crypto help communities make consensus-based decisions. However, for decentralized music platform Audius, the passing of a malicious governance proposal resulted in the transfer of tokens worth $6.1 million, with the hacker making away with $1 million.   Cointelegraph","6,100,000",Governance Attack,"July 24, 2022",https://cointelegraph.com/news/hacker-drains-1-08m-from-audius-following-passing-of-malicious-proposal,,,,,,
Hedera,Hedera," Hedera, the team behind distributed ledger Hedera Hashgraph, has confirmed a smart contract exploit on the Hedera Mainnet that has led to the theft of several liquidity pool tokens.",n/a,Contract Vulnerability,"March 9, 2023",https://cointelegraph.com/news/hedera-confirms-exploit-on-mainnet-led-to-theft-of-service-tokens,,,,,,
Soft Yearn,Soft Yearn,An anonymous user has revealed how he made $250k in profits from a minor investment in a cloned version of Yearn.finance called Soft Yearn (SYFI).,"250,000",Contract Vulnerability,"September 7, 2020",https://cointelegraph.com/news/jackpot-user-turns-200-into-250k-thanks-to-a-buggy-defi-protocol,,,,,,
Hundred Finance,Level Finance,Decentralized exchange Level Finance has experienced a security breach allowing an attacker to steal more than $1 million of the exchange’s native Level Finance (LVL) token.,"1,000,000",Contract Vulnerability,"May 2, 2023",https://cointelegraph.com/news/level-finance-confirms-1m-exploit-due-to-buggy-smart-contract,,,,,,
Li Finance,Li Finance,"The Li Finance swap aggregator has experienced a smart contract exploit leading to the loss of around $600,000 from 29 users’ wallets. The exploit took place at 2:51 am UTC on Sunday. The attacker was able to extract varying amounts of 10 different tokens from wallets that had given  infinite approval  to the Li Finance protocol.   Cointelegraph","600,000",Contract Vulnerability,"March 21, 2022",https://cointelegraph.com/news/li-finance-protocol-loses-600-000-in-latest-defi-exploit,,,,,,
Lodestar Finance,Lodestar Finance,"Arbitrum-based lending protocol Lodestar Finance was exploited in a flash loan attack on Dec. 10. According to Lodestar, the attacker manipulated the price of PlutusDAO’s plvGLP token before borrowing all platform liquidity using the inflated token.  Cointelegraph","5,800,000",Oracle Manipulation,"December 11, 2022",https://cointelegraph.com/news/lodestar-finance-exploited-in-flash-loan-attack,,,,,,
Acala,Acala,"On Aug. 14, a hacker took advantage of a bug on the iBTC/aUSD liquidity pool which resulted in 1.2 billion aUSD being minted without collateral. This event crashed the USD-pegged stablecoin to a cent, and in response, the Acala team froze the erroneously minted tokens by placing the network in maintenance mode.   Cointelegraph",n/a,Contract Vulnerability,"August 14, 2022",https://cointelegraph.com/news/network-and-token-freeze-after-acala-exploit-raises-questions,,,,,,
PancakeBunny,PancakeBunny,Popular Binance Smart Chain-based decentralized finance protocol PancakeBunny has suffered a major exploit that allowed a hacker to make off with more than $200 million worth of crypto assets.,"200,000,000",Flash Loan,"May 19, 2021",https://cointelegraph.com/news/pancakebunny-tanks-96-following-200m-flash-loan-exploit,,,,,,
Platypus,Platypus,"The $8 million Platypus flash loan attack was made possible because of code that was in the wrong order, according to a post-mortem report from Platypus auditor Omniscia. The auditing company claims the problematic code didn’t exist in the version they audited.","8,000,000",Flash Loan,"February 17, 2023",https://cointelegraph.com/news/platypus-attack-exploited-incorrect-ordering-of-code-auditor-claims,,,,,,
Skyward Finance,Skyward Finance,"Skyward finance, an IDO platform enabling fair token distribution for projects on the NEAR Protocol, has reportedly been exploited for 1.1M NEAR tokens, worth an estimated $3 million USD at time of publication.   CoinTelegraph","3,000,000",price manipulation,"November 2, 2022",https://cointelegraph.com/news/skyward-finance-exploit-allegedly-results-in-3-million-loss,,,,,,
Transit Swap,Transit Swap,"Transit Swap, a multichain decentralized exchange aggregator, lost roughly $21 million after a hacker exploited an internal bug on a swap contract. Following the revelation, Transit Swap issued an apology to users with efforts to track down and recover the stolen funds currently underway.   CoinTelegraph","21,000,000",Contract Vulnerability,"October 2, 2022",https://cointelegraph.com/news/transit-swap-loses-over-21m-due-to-internal-bug-hack-issues-apology,,,,,,
Sushi,Sushi,"The SushiSwap decentralized exchange has narrowly avoided becoming the latest decentralized finance hack victim thanks to assistance from a white hat hacker.A security researcher from venture capital firm Paradigm, known on Twitter as Samczsun, has managed to save SushiSwap and its Miso platform from a potential loss of as much as 109,000 Ether (ETH).",n/a,Contract Vulnerability,"September 16, 2021",https://cointelegraph.com/news/white-hat-potentially-saves-sushiswap-350m-by-finding-obvious-exploit,,,,,,
DForce,DForce,"On Feb. 13, onchain security firm Peckshield noticed a security breach on the dForce network. DForce had suffered a reentrancy hack attack on two vaults and lost about $3.65 million. After the hack, dForce immediately paused the vaults to ensure the safety of the remaining funds. In a tweet earlier today, dForce announced that the exploited funds had been fully returned to their multi-sig on both Arbitrum and Optimism.","3,650,000",re-entrancy incidents,"February 13, 2023",https://crypto.news/dforce-confirms-the-return-of-exploited-3-65m-to-their-vaults/,,,,,,
LendHub,LendHub,"According to a report issued by the team on Friday, DeFi digital asset lending firm LendHub has lost $6 million in digital assets on its network.","6,000,000",internal management vulnerability,"January 12, 2023",https://crypto.news/lendhub-loses-6m-to-hackers/,,,,,,
Indexed Finance,Indexed Finance,Indexed Finance has lost over $16 million worth of users’ assets after a hacker exploited a vulnerability in the protocol’s smart contracts.   CryptoBriefing,"16,000,000",Contract Vulnerability,"October 15, 2021",https://cryptobriefing.com/defi-protocol-indexed-finance-suffers-16m-exploit/,,,,,,
ChainSwap,ChainSwap,"On July 2nd, the project announced that its smart contract was compromised and the hackers drained around $800,000 worth of assets from users’ wallets.","800,000",Contract Vulnerability,"July 2, 2021",https://cryptopotato.com/chainswap-exploited-projects-using-the-bridge-protocol-crashed-99/,,,,,,
PancakeBunny,PancakeBunny,"PolyBunny, a yield farming protocol running on the Polygon network and QuickSwap decentralized exchange (DEX) based on Ethereum (ETH), got exploited for $2.4 million on July 16.   CryptoSlate","2,400,000",flash loan,"July 16, 2021",https://cryptoslate.com/bsc-defi-app-pancakebunny-releases-post-mortem-of-2-4-million-exploit/,,,,,,
Hundred Finance,Hundred Finance,The multi-chain lending protocol Hundred Finance disclosed Saturday that it lost around $7 million after being hacked on the Ethereum layer-2 blockchain Optimism.,"7,400,000",Flash Loan,"April 15, 2023",https://decrypt.co/136918/hacker-exploits-hundred-finance-protocol-in-7-4-million-heist,,,,,,
Merlin DEX,Merlin,"Newly launched decentralized exchange Merlin was drained of around $1.82 million from its liquidity pool on Wednesday, with auditor CertiK who completed an audit of the DEX just before its launch blaming  rogue developers  for the hack.","1,082,000",insider attack,"April 27, 2023",https://decrypt.co/138023/rogue-developers-drain-merlin-dex-of-1-82-million,,,,,,
Opyn,Opyn,"Attackers raided the decentralized finance (DeFi) protocol Opyn yesterday, making off with over 370,000 USDC.Opyn, which deals primarily with options for ETH, was subject to a double-spend attack.","370,000",Contract Vulnerability,"August 4, 2020",https://decrypt.co/37671/blatant-bug-led-to-370000-defi-hack-say-experts,,,,,,
Yearn Finance ,Eminence," Experimental DeFi platform Yearn Finance cultists were hit with losses this morning after an unidentified hacker exploited a smart contract vulnerability in Eminence, an upcoming gaming project built by Yearn founder Andre Cronje. ","15,000,000",Contract Vulnerability,"September 29, 2020",https://decrypt.co/43203/hackers-drain-15-million-from-unreleased-yearn-finance-project,,,,,,
Pickle Finance,Pickle Finance,"The coffers of Pickle Finance, a decentralized finance (DeFi) protocol with a native token that looks suspiciously like Pickle Rick, of Rick and Morty fame, were drained today of $20 million in what appears to be a hack.","20,000,000",-,"November 21, 2020",https://decrypt.co/49149/pickle-finance-hack,,,,,,
Yearn Finance,Yearn Finance, DeFi yield farming project Yearn Finance has been hit by an exploit that has affected a DAI lending pool. ,"11,000,000",-,"February 4, 2021",https://decrypt.co/56659/14-million-gone-in-yearn-finance-exploit,,,,,,
TurtleDex,TurtleDex,"TurtleDex, a decentralized finance (DeFi) file storage project on the Binance Smart Chain (BSC), is believed to have pulled a rugpull exit scam yesterday when more than $2.4 million in funds were drained from trading pools on major BSC DeFi exchanges Ape Swap and Pancake Swap.","2,400,000",Rug Pull,"March 18, 2021",https://decrypt.co/62204/binance-smart-chain-hit-by-2-4-million-turtledex-exit-scam,,,,,,
Impossible Finance,Impossible Finance,"Decentralized finance (DeFi) protocol Impossible Finance has lost as much as $500,000 in user funds during a flash loan attack today. The attack on Impossible Finance’s liquidity pool occurred at around 4:40 AM UTC on June 21 and resulted in a loss of 229.84 ETH (about $0.5 million at the time).","500,000",Flash Loan,"June 21, 2021",https://decrypt.co/74105/binance-smart-chain-defi-project-impossible-finance-hacked,,,,,,
ChainSwap,ChainSwap,crypto projects that had used ChainSwap to launch Ethereum tokens on Binance Smart Chain lost millions to an attacker whose address now holds about $4.4 million.,"4,400,000",Contract Vulnerability,"July 10, 2021",https://decrypt.co/75698/chainswap-exploit-leads-to-multi-million-loss-for-defi-tokens,,,,,,
Popsicle Finance,Popsicle Finance,"Popsicle Finance, a multi-chain yield-generating crypto project, has melted under the heat of a new exploit. 25 million heist was revealed by security researcher Mudit Gupta, who said  the hack was complex but the bug was simple.    Decrypt","25,000,000",Contract Vulnerability,"August 3, 2021",https://decrypt.co/77620/defi-protocol-popsicle-finance-hacked-25-million,,,,,,
